baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,description,entrez,ensembl
1345.7492536739514,-0.6954955997434815,0.18883277088014533,-3.683129768746135,2.3038780088084623e-4,0.0127599956468928,Rrs1,ribosome biogenesis regulator 1,59014,
8049.666879083472,0.523657303788668,0.11775878903895283,4.446863865213917,8.713301741377333e-6,9.160445429542626e-4,Sgk3,serum/glucocorticoid regulated kinase 3,170755,
50.668498603747494,21.889277567503576,2.7822807880106644,7.867386232844762,3.6212732313407645e-15,1.2715738824529962e-11,Sulf1,sulfatase 1,240725,
1225.0628913544751,0.8004523636396016,0.1939268870554752,4.127598683160537,3.665711354563459e-5,0.0030357968986825775,Phf3,PHD finger protein 3,213109,
10992.32954356446,0.23900883963757238,0.07012297504828466,3.408424121666227,6.533925394778588e-4,0.027572297818412507,Ptp4a1,protein tyrosine phosphatase 4a1,19243,
2769.4779733872933,0.6444525209661158,0.17963363253161427,3.587593881411359,3.337435818185808e-4,0.01698416251011253,Dst,dystonin,13518,
767.8535054030048,-0.6675801306112689,0.20014171591284013,-3.3355371595894274,8.513477496715922e-4,0.03328978271934108,Il1rl1,interleukin 1 receptor-like 1,17082,
1851.524828435493,1.5905440633621382,0.3999840111372533,3.976519108450932,6.993138200339939e-5,0.005011368464627277,Tmeff2,transmembrane protein with EGF-like and two follistatin-like domains 2,56363,
1892.3654033487046,-0.4870700755407484,0.14283003019135637,-3.410137734257962,6.49300797576935e-4,0.02746933518809216,Gtf3c3,"general transcription factor IIIC, polypeptide 3",98488,
3416.2780989392627,0.7241932426602166,0.13661910301104255,5.300819773364212,1.1528385125534194e-7,2.6987181019867178e-5,Coq10b,coenzyme Q10B,67876,
13992.0285852938,0.43065254777803263,0.08764779459484906,4.913444197526237,8.949021156694415e-7,1.5107496581546524e-4,Hspd1,heat shock protein 1 (chaperonin),15510,
2234.9189464063084,0.43419316244034534,0.1246503464033446,3.4832888553344215,4.952936450827143e-4,0.022944249410863364,Wdr12,WD repeat domain 12,57750,
649.5816126522893,1.71265016647837,0.48519712583418784,3.529802785896251,4.1586953669100227e-4,0.02016967252951361,Map2,microtubule-associated protein 2,17756,
1043.5768644401317,-1.012888334448524,0.269976221710448,-3.7517686855209647,1.7559143643867744e-4,0.010276196165179533,Abcb6,"ATP-binding cassette, sub-family B (MDR/TAP), member 6",74104,
915.1360932475424,1.0882417392877473,0.32081731518682705,3.3920916601836555,6.93612326062314e-4,0.028857231300180208,Efhd1,EF hand domain containing 1,98363,
28.494943782945278,-7.290094432638415,1.415663565417007,-5.149595292784834,2.6104911896634294e-7,5.164970203443044e-5,Ugt1a6a,"UDP glucuronosyltransferase 1 family, polypeptide A6A",94284,
352.6048856734441,2.510439092511,0.541552672879073,4.635632355325062,3.558479431620662e-6,4.399734040912955e-4,Cntn2,contactin 2,21367,
400.20826794720193,1.7436187828992944,0.37457392704160575,4.654939004085093,3.240766324264526e-6,4.0641524539365915e-4,Adora1,adenosine A1 receptor,11539,
907.4130908530763,1.4450193022196283,0.3905134852093621,3.7003057690694714,2.1533984451175165e-4,0.012117697596451357,Shisa4,shisa family member 4,77552,
